FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,YieldValue,YieldDateOfEntry,YieldDateEnd
896,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",53,2-Nov-06 11:06:28 AM,26-Jun-14 10:56:39 AM
897,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",103,1-May-97 8:00:00 AM,26-Jun-14 10:56:51 AM
898,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",70,1-May-97 8:00:00 AM,26-Jun-14 10:57:04 AM
898,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",46,2-Nov-06 11:07:58 AM,26-Jun-14 10:57:04 AM
899,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",85,1-May-97 8:00:00 AM,26-Jun-14 10:57:19 AM
899,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",49,2-Nov-06 11:08:56 AM,26-Jun-14 10:57:19 AM
900,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",47,1-May-97 8:00:00 AM,26-Jun-14 10:57:36 AM
901,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",37,1-May-97 8:00:00 AM,26-Jun-14 10:57:48 AM
901,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",46,2-Nov-06 11:37:55 AM,26-Jun-14 10:57:48 AM
902,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",38,1-May-97 8:00:00 AM,26-Jun-14 10:58:01 AM
902,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",46,2-Nov-06 11:38:24 AM,26-Jun-14 10:58:02 AM
903,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",40,1-May-97 8:00:00 AM,26-Jun-14 10:58:12 AM
904,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",32,1-May-97 8:00:00 AM,26-Jun-14 10:58:25 AM
904,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",46,1-Nov-06 2:03:03 PM,26-Jun-14 10:58:25 AM
905,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",30,1-May-97 8:00:00 AM,26-Jun-14 10:59:25 AM
905,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",49,1-Nov-06 1:28:42 PM,26-Jun-14 10:59:26 AM
906,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",56,1-May-97 8:00:00 AM,26-Jun-14 10:59:38 AM
907,682,100g raw boneless,"100g cru, désossé",71,31-Oct-06 4:20:03 PM,26-Jun-14 10:59:57 AM
907,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",49,1-May-97 8:00:00 AM,26-Jun-14 10:59:57 AM
908,682,100g raw boneless,"100g cru, désossé",78,1-Nov-06 9:19:26 AM,26-Jun-14 11:00:12 AM
908,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",50,1-May-97 8:00:00 AM,26-Jun-14 11:00:12 AM
909,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",44,1-May-97 8:00:00 AM,26-Jun-14 11:01:08 AM
910,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",36,1-May-97 8:00:00 AM,26-Jun-14 11:01:20 AM
910,1644,100g raw skinless boneless (yield after cooking),"100g cru, sans peau, désossé (rendement après cuisson)",67,1-Nov-06 2:09:36 PM,26-Jun-14 11:01:20 AM
911,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",37,1-May-97 8:00:00 AM,26-Jun-14 11:01:39 AM
911,1644,100g raw skinless boneless (yield after cooking),"100g cru, sans peau, désossé (rendement après cuisson)",74,1-Nov-06 1:29:44 PM,26-Jun-14 11:01:39 AM
912,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",31,1-May-97 8:00:00 AM,26-Jun-14 11:01:55 AM
913,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",25,1-May-97 8:00:00 AM,26-Jun-14 11:02:06 AM
913,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",32,1-Nov-06 2:12:05 PM,26-Jun-14 11:02:06 AM
914,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",25,1-May-97 8:00:00 AM,26-Jun-14 11:02:19 AM
914,1642,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)",35,1-Nov-06 9:22:57 AM,26-Jun-14 11:02:19 AM
915,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",19,1-May-97 8:00:00 AM,26-Jun-14 11:02:30 AM
916,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",18,1-May-97 8:00:00 AM,26-Jun-14 11:02:42 AM
916,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",25,1-Nov-06 2:12:57 PM,26-Jun-14 11:02:42 AM
917,686,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)",17,1-May-97 8:00:00 AM,26-Jun-14 11:02:57 AM
917,1643,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)",28,1-Nov-06 2:14:03 PM,26-Jun-14 11:02:57 AM
925,985,amount to make 250ml,quantité requise pour préparer 250ml,139,11-Aug-04 2:10:08 PM,20-Nov-14 11:12:42 AM
942,985,amount to make 250ml,quantité requise pour préparer 250ml,133,12-Aug-04 11:48:01 AM,28-Aug-14 2:13:29 PM
943,985,amount to make 250ml,quantité requise pour préparer 250ml,133,12-Aug-04 11:37:32 AM,28-Aug-14 2:13:44 PM
952,985,amount to make 250ml,quantité requise pour préparer 250ml,130,12-Aug-04 11:37:51 AM,16-Sep-14 2:59:42 PM
955,985,amount to make 250ml,quantité requise pour préparer 250ml,133,11-Aug-04 2:12:22 PM,20-Nov-14 2:09:56 PM
956,985,amount to make 250ml,quantité requise pour préparer 250ml,133,12-Aug-04 11:58:33 AM,20-Nov-14 11:52:59 AM
959,985,amount to make 250ml,quantité requise pour préparer 250ml,133,11-Aug-04 2:29:03 PM,16-Sep-14 3:00:43 PM
960,985,amount to make 250ml,quantité requise pour préparer 250ml,130,11-Aug-04 2:29:21 PM,16-Sep-14 3:01:12 PM
962,985,amount to make 250ml,quantité requise pour préparer 250ml,130,12-Aug-04 10:54:17 AM,20-Nov-14 1:07:55 PM
977,455,amount to make 100ml,quantité requise pour préparer  100ml,8,12-Aug-04 10:23:20 AM,28-Aug-14 2:13:02 PM
977,985,amount to make 250ml,quantité requise pour préparer 250ml,20,12-Aug-04 10:23:20 AM,28-Aug-14 2:13:02 PM
978,455,amount to make 100ml,quantité requise pour préparer  100ml,10,12-Aug-04 11:10:07 AM,28-Aug-14 2:13:08 PM
978,985,amount to make 250ml,quantité requise pour préparer 250ml,24,12-Aug-04 11:10:07 AM,28-Aug-14 2:13:09 PM
990,1390,amount to make 60ml,quantité requise pour préparer 60ml,9,12-Aug-04 11:49:43 AM,18-Oct-13 11:15:02 AM
1014,985,amount to make 250ml,quantité requise pour préparer 250ml,133,12-Aug-04 11:26:27 AM,20-Nov-14 11:41:56 AM
1016,985,amount to make 250ml,quantité requise pour préparer 250ml,133,12-Aug-04 9:05:10 AM,20-Nov-14 11:46:50 AM
1020,985,amount to make 250ml,quantité requise pour préparer 250ml,136,12-Aug-04 10:08:12 AM,28-Aug-14 2:29:39 PM
1163,674,1 raw patty (56g),1 boulette crue (56g),26,1-May-97 8:00:00 AM,16-Jul-14 10:31:05 AM
1163,797,1 raw link (28g),1 saucisse crue (28g),13,23-Oct-00 11:19:02 AM,16-Jul-14 10:31:05 AM
1199,673,1 raw patty (27g),1 boulette crue (27g),13,15-Oct-04 11:17:58 AM,22-Jul-14 11:27:25 AM
1199,674,1 raw patty (56g),1 boulette crue (56g),26,15-Oct-04 11:17:58 AM,22-Jul-14 11:27:28 AM
1199,674,1 raw patty (56g),1 boulette crue (56g),26,15-Oct-04 11:17:58 AM,22-Jul-14 11:27:32 AM
1199,797,1 raw link (28g),1 saucisse crue (28g),13,15-Oct-04 11:17:58 AM,22-Jul-14 11:28:53 AM
