FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
502719,750,0,2014-10-27
502720,750,0,2014-10-27
502721,750,0,2014-10-27
502722,750,0,2014-10-27
502723,750,0,2014-10-27
502724,750,0,2014-12-01
502725,750,0,2015-03-17
502727,750,0,2015-03-20
502728,750,0,2015-03-18
502729,750,0,2015-03-18
502730,750,0,2015-03-17
502732,750,0,2015-01-12
502742,750,0,2014-12-16
502758,750,0,2014-12-17
502759,750,0,2014-12-17
502762,750,0,2014-12-17
502768,750,0,2014-12-17
502771,750,0,2014-12-17
502772,750,0,2014-12-17
502773,750,0,2014-12-17
502774,750,0,2014-12-17
502776,750,0,2014-12-17
502777,750,0,2014-12-17
502778,750,0,2014-12-17
502779,750,0,2014-12-17
502780,750,0,2014-12-17
502781,750,0,2014-12-17
502782,750,0,2014-12-17
502783,750,0,2014-12-17
502784,750,0,2014-12-17
502787,750,0,2014-12-23
502788,750,0,2014-12-23
502789,750,0,2014-12-23
502803,750,0,2015-01-06
502804,750,0,2015-01-06
502816,750,0,2015-01-08
502819,750,0,2015-01-08
502821,750,0,2015-01-08
502824,750,0,2015-01-08
502825,750,0,2015-01-08
502827,750,0,2015-03-12
502828,750,0,2015-01-08
502829,750,0,2015-01-08
502830,750,0,2015-01-08
502831,750,0,2015-01-08
502832,750,0,2015-01-08
502833,750,0,2015-01-08
502834,750,0,2015-01-08
502842,750,0,2015-01-09
502843,750,0,2015-01-09
502847,750,0,2015-01-09
502848,750,0,2015-03-12
502849,750,0,2015-01-09
502850,750,0,2015-03-12
502851,750,0,2015-01-09
502852,750,0,2015-01-12
502853,750,0,2015-01-12
502854,750,0,2015-01-12
502855,750,0,2015-01-12
502856,750,0,2015-01-12
502857,750,0,2015-01-12
502859,750,0,2015-01-12
502860,750,0,2015-01-12
502861,750,0,2015-01-12
502862,750,0,2015-01-12
502863,750,0,2015-01-12
502864,750,0,2015-01-12
502865,750,0,2015-01-12
502866,750,0,2015-01-12
502867,750,0,2015-01-12
502868,750,0,2015-01-12
502869,750,0,2015-01-12
502870,750,0,2015-01-12
502871,750,0,2015-01-12
502872,750,0,2015-01-12
502873,750,0,2015-01-12
502874,750,0,2015-01-12
502875,750,0,2015-01-12
502876,750,0,2015-01-12
502877,750,0,2015-01-12
502878,750,0,2015-01-14
502916,750,0,2015-03-11
502917,750,0,2015-03-11
502918,750,0,2015-03-11
502919,750,0,2015-03-11
502920,750,0,2015-03-11
502921,750,0,2015-03-11
502922,750,0,2015-03-11
503337,750,0,2015-03-11
503338,750,0,2015-03-11
503339,750,0,2015-03-11
503340,750,0,2015-03-11
503341,750,0,2015-03-11
503342,750,0,2015-03-11
503343,750,0,2015-03-11
503344,750,0,2015-03-11
503345,750,0,2015-03-12
503346,750,0,2015-03-12
503347,750,0,2015-03-12
503348,750,0,2015-03-11
